标题： 吐槽一把，顺便推荐大家点儿书	 链接：http://tieba.baidu.com//p/5663747362	 发帖人：wb311425	 发帖时间：4-23	 回复数量：13
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5671041298	 发帖人：你的小掰呀	 发帖时间：4-27	 回复数量：2
标题： 偶然找到了Amy的几张年轻美图	 链接：http://tieba.baidu.com//p/5666679771	 发帖人：专掐祖国...	 发帖时间：4-25	 回复数量：3
标题： 哈哈哈哈哈哈哈哈	 链接：http://tieba.baidu.com//p/4999612833	 发帖人：summerlylyhah	 发帖时间：2017-02	 回复数量：36
标题： 亲妈	 链接：http://tieba.baidu.com//p/4929645257	 发帖人：summerlylyhah	 发帖时间：2017-01	 回复数量：22
标题： raj的父母？	 链接：http://tieba.baidu.com//p/5653874309	 发帖人：hljczq321	 发帖时间：4-18	 回复数量：6
标题： 求谢耳朵的作息时间表！！！拜托各位了！	 链接：http://tieba.baidu.com//p/1933817098	 发帖人：elaight	 发帖时间：2012-10	 回复数量：7
标题： 【TBBT】《生活大爆炸》第十季熟肉	 链接：http://tieba.baidu.com//p/5546422491	 发帖人：玺子	 发帖时间：2-9	 回复数量：237
标题： 【生活大爆炸】TBBT S11E16	 链接：http://tieba.baidu.com//p/5585492686	 发帖人：玺子	 发帖时间：3-9	 回复数量：36
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5669943630	 发帖人：你的小掰呀	 发帖时间：4-27	 回复数量：3
标题： 有没有人看过everybody hates chris？	 链接：http://tieba.baidu.com//p/2229629421	 发帖人：残阳的小猪	 发帖时间：2013-03	 回复数量：1
标题： 天雷滚滚，成人版《生活大爆炸》预告片！	 链接：http://tieba.baidu.com//p/955648642	 发帖人：爱笑的猫...	 发帖时间：2010-12	 回复数量：13
标题： 生活大爆炸测试题，你能撑到第几题？	 链接：http://tieba.baidu.com//p/5565359914	 发帖人：是你的辣...	 发帖时间：2-25	 回复数量：72
标题： 开个帖，记录一下截屏的图，以后拿来发朋友圈	 链接：http://tieba.baidu.com//p/5555207140	 发帖人：Tony	 发帖时间：2-17	 回复数量：66
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5668948402	 发帖人：你的小掰呀	 发帖时间：4-26	 回复数量：4
标题： 【生活大爆炸】S11 E17-E20 熟肉	 链接：http://tieba.baidu.com//p/5659468845	 发帖人：玺子	 发帖时间：4-21	 回复数量：9
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5668338302	 发帖人：你的小掰呀	 发帖时间：4-26	 回复数量：3
标题： 一部老电影中佩妮	 链接：http://tieba.baidu.com//p/5260835636	 发帖人：xiaowazi1459	 发帖时间：2017-08	 回复数量：61
标题： 请问生活大爆炸中有哪些关于诺贝尔的梗，希望大家告知，并告诉我	 链接：http://tieba.baidu.com//p/5582441650	 发帖人：royal问路	 发帖时间：3-7	 回复数量：0
标题： 霍华德搞笑中文	 链接：http://tieba.baidu.com//p/5518810982	 发帖人：2726104	 发帖时间：1-17	 回复数量：39
标题： Leonard他妈妈真的烦，刷第三遍剧也救不了她	 链接：http://tieba.baidu.com//p/5136469459	 发帖人：Vongola27号	 发帖时间：2017-05	 回复数量：21
标题： 谢耳朵他哥哥这种衣服是什么款式的总看他穿这样类型的衣服，他还	 链接：http://tieba.baidu.com//p/5668308512	 发帖人：巴斯光年	 发帖时间：4-26	 回复数量：0
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5668066374	 发帖人：你的小掰呀	 发帖时间：4-26	 回复数量：2
标题： #生活大爆炸#剧照	 链接：http://tieba.baidu.com//p/5663845836	 发帖人：初年念123	 发帖时间：4-23	 回复数量：4
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5667642784	 发帖人：你的小掰呀	 发帖时间：4-25	 回复数量：1
标题： 【TBBT】《生活大爆炸》第十一季熟肉	 链接：http://tieba.baidu.com//p/5545877734	 发帖人：玺子	 发帖时间：2-9	 回复数量：169
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5667320927	 发帖人：你的小掰呀	 发帖时间：4-25	 回复数量：4
标题： 21集那个漫画店的女员工有点眼熟？	 链接：http://tieba.baidu.com//p/5660451890	 发帖人：隐_苍兰	 发帖时间：4-22	 回复数量：6
标题： 刚看到第六季，故事发生在加州，为什么竟然一个拉丁裔和黑人都没	 链接：http://tieba.baidu.com//p/5601828271	 发帖人：野到联合国	 发帖时间：3-18	 回复数量：13
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5666848284	 发帖人：你的小掰呀	 发帖时间：4-25	 回复数量：3
标题： 没人觉得谢耳朵所在的高中两极分化很严重吗	 链接：http://tieba.baidu.com//p/5612143180	 发帖人：科学官谢...	 发帖时间：3-23	 回复数量：36
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5665569277	 发帖人：你的小掰呀	 发帖时间：4-24	 回复数量：3
标题： S10E12发现Stuart新技能！！	 链接：http://tieba.baidu.com//p/4931716005	 发帖人：双子相当	 发帖时间：2017-01	 回复数量：10
标题： 美国人真的能看明白生活大爆炸中的英文？？	 链接：http://tieba.baidu.com//p/2208929847	 发帖人：桃乐西GZ	 发帖时间：2013-04	 回复数量：389
